iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
0,0.747877999096,0.724984984742,0.738587860383,0.224,0.252,0.234666666667,0.062766172
100,0.630006824721,0.648859663568,0.631347560706,0.293333333333,0.278,0.29,8.040297052
200,0.552922578725,0.574779499542,0.555055028368,0.341333333333,0.312,0.351333333333,12.453697617
300,0.513076242787,0.526114053538,0.524026102816,0.392333333333,0.376,0.388666666667,16.782716225
400,0.494994216698,0.50776802063,0.509947527801,0.402,0.382,0.391333333333,21.182793336
500,0.489495068269,0.504228005877,0.509422213932,0.412666666667,0.386,0.394666666667,25.57417198
600,0.48200035376,0.498196396025,0.503414264469,0.422333333333,0.398,0.404666666667,29.232091062
700,0.473192823614,0.490775827123,0.494543342461,0.427333333333,0.408,0.408,32.746589032
800,0.465299179366,0.488986924439,0.488172644251,0.438666666667,0.416,0.418,36.341645947
900,0.460855450036,0.482560509474,0.483148700636,0.433666666667,0.41,0.41,39.810506027
1000,0.458063300818,0.481428559819,0.48088524346,0.437333333333,0.408,0.413333333333,43.331629565
1100,0.441965749187,0.468748510366,0.462419137776,0.437,0.404,0.413333333333,46.865167512
1200,0.431243760667,0.455406871363,0.45693166846,0.450333333333,0.414,0.418,50.51091476
1300,0.427628645818,0.453345742855,0.452721903473,0.452,0.412,0.422666666667,54.501445138
1400,0.420060853408,0.443493949186,0.443839958284,0.458666666667,0.426,0.43,58.231571574
1500,0.410854858696,0.431386372373,0.432050788379,0.447666666667,0.416,0.412666666667,61.80624648
1600,0.388362427783,0.407169490889,0.408022249247,0.488,0.474,0.465333333333,65.344468281
1700,0.380576048442,0.401096632473,0.400070822153,0.494,0.476,0.464666666667,68.90790882
1800,0.371667573188,0.396855191911,0.395078748326,0.505,0.472,0.479333333333,72.42102604
1900,0.368229121272,0.394742521272,0.387706156859,0.513333333333,0.474,0.482,75.975232417
2000,0.365037108208,0.390984334577,0.386074045277,0.522666666667,0.484,0.496666666667,79.612472807
2100,0.36377988137,0.390896991307,0.38570779831,0.522666666667,0.486,0.49,83.195887256
2200,0.361519860021,0.38973793046,0.381970101937,0.522,0.484,0.490666666667,86.881212542
2300,0.358003047106,0.389615461149,0.381524009602,0.527333333333,0.484,0.494666666667,90.637563549
2400,0.354444133662,0.390405554266,0.377526245607,0.533,0.478,0.503333333333,94.108591329
2500,0.350079054631,0.389486966319,0.373607470014,0.537333333333,0.486,0.502666666667,97.704236484
2600,0.347856874785,0.385212253962,0.370500893346,0.541,0.486,0.503333333333,101.298929151
2700,0.344969117934,0.380750289572,0.37262758368,0.547666666667,0.482,0.504,104.876952987
2800,0.342944324512,0.37613077564,0.371395007732,0.551,0.494,0.510666666667,108.406623671
2900,0.339169002363,0.378835940819,0.368845905053,0.553333333333,0.486,0.514666666667,112.037020409
3000,0.33483340151,0.374971347533,0.362827682511,0.563,0.496,0.523333333333,115.602180259
3100,0.331321123558,0.372355192932,0.360123301628,0.562666666667,0.498,0.528,119.168841737
3200,0.330249417354,0.371893250347,0.359308083903,0.565333333333,0.5,0.526666666667,122.66877734
3300,0.328446035444,0.368904060665,0.358511600632,0.563333333333,0.502,0.524666666667,126.253354069
3400,0.327511534489,0.367910613398,0.358270367058,0.564666666667,0.5,0.524,129.756919109
3500,0.326777179735,0.368576724019,0.357831587709,0.566333333333,0.498,0.523333333333,133.39756808
3600,0.32594812597,0.368214544979,0.358882174753,0.565333333333,0.496,0.518666666667,136.869346085
3700,0.324737429678,0.365593440162,0.357751670305,0.57,0.5,0.522666666667,140.444230764
3800,0.323422199885,0.364482349692,0.355883243151,0.566333333333,0.512,0.521333333333,144.123936698
3900,0.322541346526,0.363925285783,0.355138560953,0.568,0.506,0.521333333333,147.711123591
4000,0.322180403512,0.363620621251,0.354890595121,0.569,0.504,0.521333333333,151.249314971
4100,0.320955284643,0.362471213874,0.354458226965,0.571333333333,0.514,0.526666666667,154.845961223
4200,0.320492428473,0.36377872742,0.352851016155,0.569666666667,0.516,0.531333333333,158.383506676
4300,0.319225516181,0.361099203213,0.351776966187,0.571,0.502,0.534666666667,162.084135064
