0.487,0.001,0.404,11,14,12.5,4.9,1.5,1.1,13.8,22.6,0.5,1.4,1.9,0.05,-2.1,-1.3,-3.4,-0.6,0.444,0,0.445,0.444,0.638,0,1,0,0,0
0.572,0.192,0.444,9.8,26.8,18.2,18.9,2.3,1.4,9.9,27.5,7.4,3.3,10.6,0.214,4.9,1.6,6.4,5.1,0.486,0.338,0.521,0.518,0.748,0,1,0,0,0
0.491,0.022,0.29,14.1,15.5,14.8,8.3,1,1.6,21.1,12.9,0.2,0.9,1.1,0.105,-2.6,1.9,-0.7,0.2,0.473,0,0.484,0.473,0.556,1,0,0,0,0
0.548,0.282,0.359,2.3,9.2,5.7,20.9,0.7,0.4,14.2,23.9,0.2,0.1,0.4,0.087,-0.9,-3.3,-4.3,-0.1,0.436,0.455,0.429,0.5,0.75,0,0,0,0,1
0.517,0.589,0.183,5.9,22.3,14,4.8,1.5,1.5,11,18.2,1.4,2.8,4.2,0.097,-0.4,-0.3,-0.7,0.7,0.395,0.324,0.496,0.49,0.748,0,1,0,0,0
0.583,0.082,0.556,3.2,11.2,7.3,40.5,3,2.5,15.3,34.7,5.9,2.9,8.8,0.219,6.5,1.9,8.4,5.1,0.491,0.266,0.511,0.502,0.807,0,0,0,1,0
0.426,0.63,0.099,2.7,8.5,5.5,29.3,3.6,0.4,25.5,13.3,-0.1,0.3,0.2,0.032,-2.2,-0.6,-2.8,-0.1,0.321,0.294,0.367,0.414,0.625,0,0,0,0,1
0.515,0.002,0.362,9.5,16.8,13,14.4,1,1.3,13.2,25.7,1.1,0.5,1.6,0.078,0.3,-0.7,-0.4,0.4,0.457,0,0.458,0.457,0.77,0,1,0,0,0
0.549,0.312,0.3,1.8,7.9,4.8,29.5,3.4,0.7,15.1,21,5.1,4.7,9.9,0.172,3.1,1.1,4.1,4.3,0.44,0.362,0.476,0.497,0.83,0,0,0,0,1
0.474,0.089,0.339,6.4,17,11.9,7.6,2,2.4,18.8,15.4,-0.3,0.6,0.3,0.024,-4.3,1,-3.3,-0.2,0.435,0.364,0.442,0.452,0.548,0,0,1,0,0
0.6,0.213,0.359,3.7,7.1,5.4,24.2,1.8,0.1,15.4,18,2.9,0.9,3.7,0.135,1.8,-1.8,0,0.7,0.515,0.41,0.544,0.559,0.757,0,0,0,0,1
0.609,0.424,0.418,2,9,5.5,28.2,1.6,0.2,14.3,20.7,8.6,3.5,12.1,0.202,4.7,-0.9,3.8,4.2,0.442,0.426,0.454,0.533,0.898,0,0,0,0,1
0.557,0.005,0.462,8.3,29.3,18.8,6.8,1,5.3,13.7,31.1,1,2,3,0.168,-1.8,1.6,-0.2,0.4,0.504,0,0.506,0.504,0.72,1,0,0,0,0
0.501,0.005,0.342,11.7,19,15.2,5.9,1.2,2.1,13.4,18.7,0.9,0.8,1.7,0.066,-2,-0.5,-2.4,-0.1,0.467,0,0.469,0.467,0.642,0,1,0,0,0
0.404,0.191,0.322,3,10.2,6.5,22.8,2.3,1.7,23.4,19.2,-0.9,0.5,-0.4,-0.045,-6.3,0.6,-5.8,-0.4,0.313,0.136,0.355,0.326,0.838,0,0,0,0,1
0.552,0.358,0.257,0.9,5.4,3.2,18.8,1.9,0.5,8.6,23,4.4,2.1,6.5,0.123,2.5,-1.7,0.8,1.8,0.438,0.365,0.479,0.503,0.866,0,0,0,1,0
0.462,0.06,0.295,8.9,8.9,8.9,19.2,2.9,0.9,19.3,23.8,-0.4,0.5,0.2,0.015,-2.3,-0.2,-2.6,-0.1,0.405,0.167,0.42,0.41,0.763,0,0,0,1,0
0.264,0,0.273,8.1,4.6,6.3,8.1,1.4,3.2,10.9,17,-0.2,0.1,-0.1,-0.081,-8.4,0.9,-7.5,-0.1,0.227,0,0.227,0.227,0.5,1,0,0,0,0
0.448,0.192,0.162,9.7,7.8,8.8,6.9,1.9,0.2,7.8,15.8,0.2,0.2,0.4,0.06,-0.3,-1.1,-1.5,0,0.374,0.368,0.375,0.409,0.875,0,0,1,0,0
0.449,0,0.333,2.4,16.6,9.5,32.4,3.6,0.6,22.5,21.4,-0.1,0.1,0,0.005,-4.2,0.3,-3.9,0,0.364,0,0.364,0.364,0.909,0,0,0,0,1
0.505,0.131,0.316,4.9,14.9,9.9,18,2.8,0.6,16,25.9,0.9,3.1,4,0.08,-0.1,0.8,0.7,1.6,0.441,0.292,0.464,0.461,0.722,0,0,0,1,0
0.508,0.033,0.257,8.5,17.9,13,11.8,1.6,3.5,14.3,21.9,0.2,1.2,1.4,0.039,-1.9,0.4,-1.5,0.2,0.471,0.238,0.479,0.475,0.704,1,0,0,0,0
0.337,0.025,0.675,5.2,20.5,13,7.1,1.7,0,23.6,14.6,-0.6,0.2,-0.4,-0.097,-9.2,-0.7,-9.9,-0.4,0.25,0,0.256,0.25,0.556,1,0,0,0,0
0.526,0.221,0.392,1.6,8.1,4.7,43,1.7,0.3,14.6,20.6,6,1,7,0.126,2.7,-2.1,0.5,1.7,0.436,0.341,0.463,0.474,0.73,0,0,0,0,1
0.537,0.439,0.164,1.3,10,5.6,30.4,0.9,0.2,15.4,21.1,2.4,1.2,3.6,0.097,1.2,-2.6,-1.4,0.3,0.421,0.377,0.455,0.504,0.88,0,0,0,1,0
0.454,0,0.162,7.4,22.2,14.9,4.8,0.9,2,15.9,16.9,-0.5,1,0.5,0.043,-6.6,1.3,-5.3,-0.4,0.419,0,0.419,0.419,0.833,1,0,0,0,0
